case_id,diagnosis_root_cause,true_label
10059,local,local
10081,local,remote
10082,local,remote
10083,local,remote
1009,local,local
101,local,local
10108,local,remote
10118,local,remote
10177,fiber,local
10180,local,local
1019,local,fiber
10235,local,local
10239,local,local
10240,local,local
10251,local,local
10252,local,local
10276,fiber,remote
10295,local,local
1030,local,local
10347,local,remote
1040,local,remote
10409,fiber,remote
10414,local,local
1056,local,local
1058,local,remote
108,local,local
1109,local,local
1140,local,local
1146,remote,local
1153,remote,local
116,local,remote
1175,local,local
1177,local,local
1193,local,local
1197,remote,local
120,local,remote
123,local,local
1252,local,remote
1261,fiber,local
127,fiber,remote
128,local,local
1320,local,local
1324,local,local
1339,local,fiber
138,local,local
1386,fiber,remote
1391,fiber,local
141,local,local
142,local,remote
145,local,local
1464,fiber,local
147,local,local
1554,local,local
1555,local,local
156,local,remote
1572,local,local
1594,local,local
1605,local,remote
1620,fiber,local
1647,fiber,remote
1653,fiber,local
1664,local,local
1674,local,local
1684,fiber,local
1782,local,local
1788,local,remote
1796,local,remote
1798,local,remote
1807,fiber,fiber
1811,local,local
1816,local,local
1819,fiber,local
1823,local,local
1839,local,remote
1841,local,local
1845,remote,local
1849,remote,local
1852,local,local
1889,local,local
1909,local,local
1930,fiber,remote
1944,fiber,local
1956,local,local
1965,local,fiber
1973,fiber,local
2038,local,fiber
2053,local,local
2063,fiber,remote
2068,local,remote
2085,fiber,local
2086,local,local
2089,fiber,remote
2125,local,local
2128,local,local
2172,local,remote
2179,local,local
2192,fiber,remote
2195,local,remote
2200,local,local
2263,local,local
2280,fiber,local
229,local,local
2295,fiber,remote
2317,local,local
2322,fiber,remote
2333,local,fiber
2338,local,remote
2340,fiber,remote
2349,local,local
2355,local,local
2357,local,local
2360,fiber,local
2371,fiber,remote
2375,fiber,remote
2395,remote,remote
2404,local,remote
2408,local,local
2415,local,local
242,local,local
2421,fiber,remote
2426,local,local
2446,local,fiber
2453,local,remote
2474,fiber,local
2479,fiber,remote
2499,fiber,local
2522,fiber,remote
2536,local,remote
2541,fiber,local
2543,fiber,local
2545,fiber,local
2546,fiber,local
2555,fiber,remote
2558,local,local
2577,local,local
2594,fiber,local
2607,local,local
2611,fiber,remote
2615,local,local
2616,fiber,remote
2620,local,local
263,local,local
2631,fiber,local
2640,fiber,local
2644,local,remote
2646,local,local
2648,local,remote
2655,fiber,remote
2666,local,remote
2668,fiber,remote
2676,local,local
2701,local,local
2704,local,remote
2705,remote,remote
2706,fiber,remote
2712,fiber,local
2713,local,local
2718,fiber,remote
2721,fiber,local
2722,local,local
2728,remote,remote
273,local,local
2739,local,remote
2746,local,fiber
2753,fiber,remote
2758,local,fiber
2759,local,remote
2764,local,local
2778,fiber,remote
2783,fiber,remote
2788,fiber,remote
2810,local,local
2821,local,local
2822,local,fiber
2825,local,local
2835,local,local
2836,remote,remote
2841,local,local
2848,fiber,local
2867,local,local
2869,fiber,remote
2875,remote,remote
2882,local,local
2890,local,local
2892,local,local
2893,local,local
2894,local,fiber
2897,fiber,local
2901,local,local
2909,local,local
2912,local,local
2914,local,local
2915,local,local
2931,fiber,local
2932,local,local
2944,local,remote
2953,local,local
2957,fiber,remote
2960,local,local
2962,fiber,local
2964,remote,local
2975,local,local
2978,local,local
2980,local,fiber
2981,local,fiber
2986,local,remote
2989,local,local
2992,local,local
2993,local,remote
2994,fiber,remote
3002,local,local
3003,local,remote
3004,remote,local
3016,fiber,local
302,fiber,remote
3029,remote,local
3033,fiber,local
3039,fiber,local
305,local,local
306,local,remote
3061,local,local
3067,local,remote
3068,fiber,remote
3075,fiber,local
3081,fiber,local
3082,local,local
3084,fiber,remote
3088,fiber,local
3090,fiber,local
3091,local,remote
3093,local,local
3103,local,remote
3106,local,local
3108,local,remote
328,local,local
332,local,local
3368,local,local
3371,fiber,remote
3373,fiber,local
3375,local,local
3377,remote,local
338,local,remote
3389,local,local
3409,local,fiber
3410,local,local
3412,local,local
3423,local,local
3427,local,local
3437,local,local
3438,fiber,fiber
3457,fiber,remote
3491,local,remote
3494,local,local
3502,local,local
3527,fiber,remote
3530,local,local
3535,local,local
3547,local,fiber
358,local,remote
3588,local,local
3595,local,local
3597,local,remote
3607,local,remote
3630,local,local
3676,local,local
3677,local,local
370,local,remote
3706,local,local
3709,local,local
3713,local,remote
3724,local,local
373,local,local
3755,local,local
3824,fiber,remote
432,local,remote
438,local,remote
439,local,local
4611,local,local
466,local,local
473,local,local
4852,local,local
4863,local,local
4883,local,local
4886,local,local
504,fiber,local
5160,local,remote
5392,local,remote
5445,local,local
5451,local,local
5470,local,remote
5488,local,local
555,local,local
556,local,local
562,local,remote
5792,local,local
5834,local,local
5838,local,remote
5970,local,local
6001,fiber,remote
6018,local,local
6053,fiber,local
6071,fiber,local
6165,local,local
6215,fiber,local
6286,fiber,remote
6362,local,remote
6464,local,local
686,local,local
6885,local,remote
690,local,local
6982,local,remote
6983,fiber,remote
6990,fiber,remote
7041,local,local
715,fiber,remote
7284,local,remote
7291,local,remote
746,local,local
747,local,local
7644,local,local
7694,local,remote
7727,local,remote
7805,local,local
7826,local,local
7845,local,local
7854,local,remote
7926,local,remote
793,local,remote
7932,local,local
7976,local,remote
7987,local,local
7995,local,local
8016,local,remote
8022,local,local
805,local,local
8067,local,local
8081,local,remote
809,local,local
8129,local,local
8141,local,local
8155,local,remote
8162,local,local
8165,local,local
8168,local,remote
8170,local,remote
8173,local,local
8179,local,local
8180,fiber,local
8186,local,remote
8195,local,remote
8196,local,remote
8197,local,remote
8199,local,remote
8204,fiber,local
8213,fiber,local
8215,fiber,local
8219,local,local
8227,local,local
8231,local,local
8233,local,local
8234,local,remote
8237,local,local
824,local,remote
8242,local,local
8243,fiber,local
8249,local,local
8253,local,remote
8261,local,local
